id	frequency	en	pos	es	nl
1353	7172	comment	n	comentario	commentaar
1354	7166	grant	v	conceder	verlenen
1355	7157	concentrate	v	concentrado	concentreren
1356	7152	ignore	v	ignorar	negeren
1357	7150	phone	n	teléfono	telefoon
1358	7135	hole	n	agujero	gat
1359	7122	insurance	n	seguro	verzekering
1360	7116	content	n	contenido	inhoud
1361	7101	confidence	n	confianza	vertrouwen
1362	7099	sample	n	muestra	monster
1363	7088	transport	n	transporte	vervoer-
1364	7088	objective	n	objetivo	doelstelling
1365	7088	alone	a	solo	alleen
1366	7086	flower	n	flor	bloem
1367	7084	injury	n	lesión	letsel
1368	7080	lift	v	ascensor	lift
1369	7079	stick	v	palo	stok
1370	7078	front	a	frente	voorkant
1371	7065	mainly	adv	principalmente	hoofdzakelijk
1372	7063	battle	n	batalla	strijd
1373	7050	generation	n	Generacion	generatie
1374	7050	currently	adv	actualmente	momenteel
1375	7047	winter	n	invierno	winter
1376	7043	inside	prep	dentro	binnen
1377	7036	impossible	a	imposible	onmogelijk
1378	7026	somewhere	adv	algun lado	ergens
1379	7021	arrange	v	organizar	regelen
1380	6995	will	n	será	zullen
1381	6992	sleep	v	dormir	slaap
1382	6987	progress	n	Progreso	vooruitgang
1383	6974	volume	n	volumen	volume
1384	6974	ship	n	enviar	schip
1385	6974	legislation	n	legislación	wetgeving
1386	6970	commitment	n	compromiso	inzet
1387	6958	enough	det	suficiente	genoeg
1388	6956	conflict	n	conflicto	conflict
1389	6955	bag	n	bolso	zak
1390	6954	fresh	a	Fresco	vers
1391	6938	entry	n	entrada	binnenkomst
1392	6937	smile	n	sonreír	glimlach
1393	6936	fair	a	justa	eerlijk
1394	6930	promise	v	promesa	belofte
1395	6925	introduction	n	Introducción	invoering
1396	6924	senior	a	mayor	senior
1397	6924	manner	n	manera	manier
1398	6923	background	n	fondo	achtergrond
1399	6922	key	n	llave	sleutel
1400	6920	touch	v	toque	aanraken
1401	6917	vary	v	variar	variëren
1402	6910	sexual	a	sexual	seksueel
1403	6900	ordinary	a	ordinario	gewoon
1404	6900	cabinet	n	gabinete	kabinet
1405	6895	painting	n	pintura	schilderij
1406	6892	entirely	adv	enteramente	geheel
1407	6883	engine	n	motor	motor
1408	6873	previously	adv	previamente	eerder
1409	6865	administration	n	administración	administratie
1410	6856	tonight	adv	esta noche	vanavond
1411	6855	adult	n	adulto	volwassen
1412	6854	prefer	v	preferir	verkiezen
1413	6852	author	n	autor	auteur
1414	6849	actual	a	real	werkelijk
1415	6846	song	n	canción	lied
1416	6838	investigation	n	investigación	onderzoek
1417	6835	debt	n	deuda	schuld
1418	6832	visitor	n	visitante	bezoeker
1419	6832	forest	n	bosque	Bos
1420	6820	repeat	v	repetir	herhaling
1421	6817	wood	n	madera	hout
1422	6816	contrast	n	contraste	contrast
1423	6814	extremely	adv	extremadamente	uiterst
1424	6811	wage	n	salario	voeren
1425	6803	domestic	a	nacional	huiselijk
1426	6783	commit	v	cometer	plegen
1427	6767	threat	n	amenaza	bedreiging
1428	6761	bus	n	autobús	bus
1429	6756	warm	a	calentar	warm
1430	6750	sir	n	señor	mijnheer
1431	6741	regulation	n	regulación	regulatie
1432	6723	drink	n	beber	drinken
1433	6721	relief	n	alivio	reliëf
1434	6721	internal	a	interno	intern
1435	6717	strange	a	extraño	vreemd
1436	6717	excellent	a	excelente	uitstekend
1437	6715	run	n	correr	rennen
1438	6702	fairly	adv	bastante	tamelijk
1439	6701	technical	a	técnico	technisch
1440	6686	tradition	n	tradicion	traditie
1441	6683	measure	v	medida	maatregel
1442	6683	insist	v	insistir	aandringen
1443	6678	his	pron	su	zijn
1444	6678	farmer	n	agricultor	boer
1445	6677	until	prep	hasta	tot
1446	6677	traffic	n	tráfico	verkeer
1447	6667	dinner	n	cena	avondeten
1448	6663	consumer	n	consumidor	klant
1449	6654	meal	n	comida	maaltijd
1450	6651	warn	v	advertir	waarschuwen
1451	6648	living	a	vivo	leven
1452	6646	package	n	paquete	pakket
1453	6639	half	n	mitad	voor de helft
1454	6634	increasingly	adv	cada vez más	in toenemende mate
1455	6634	description	n	descripción	Beschrijving
1456	6631	soft	a	suave	zacht
1457	6627	stuff	n	cosas	spul
1458	6625	award	v	premio	onderscheiding
1459	6618	existence	n	existencia	bestaan
1460	6616	improvement	n	mejora	verbetering
1461	6614	coffee	n	Café	koffie
1462	6606	appearance	n	apariencia	uiterlijk
1463	6588	standard	a	estándar	standaard-
1464	6586	attack	v	ataque	aanval
1465	6583	sheet	n	hoja	vel
1466	6566	category	n	categoría	categorie
1467	6564	distribution	n	distribución	distributie
1468	6553	equally	adv	Igualmente	even
1469	6545	session	n	sesión	sessie
1470	6543	cultural	a	cultural	cultureel
1471	6538	loan	n	préstamo	lening
1472	6517	bind	v	enlazar	binden
1473	6516	museum	n	museo	museum
1474	6515	conversation	n	conversacion	gesprek
1475	6510	threaten	v	amenazar	dreigen
1476	6509	link	n	enlazar	link
1477	6508	launch	v	lanzamiento	lancering
1478	6504	proper	a	apropiado	gepast
1479	6501	victim	n	víctima	slachtoffer
1480	6500	audience	n	audiencia	publiek
1481	6485	famous	a	famoso	beroemd
1482	6479	master	n	dominar	meester
1483	6477	lip	n	labio	lip-
1484	6476	religious	a	religioso	religieus
1485	6472	joint	a	articulación	gewricht
1486	6460	cry	v	llorar	huilen
1487	6456	potential	a	potencial	potentieel
1488	6447	broad	a	ancho	breed
1489	6445	exhibition	n	exposición	tentoonstelling
1490	6440	experience	v	experiencia	ervaring
1491	6437	judge	n	juez	rechter
1492	6436	formal	a	formal	formeel
1493	6435	housing	n	alojamiento	huisvesting
1494	6426	past	prep	pasado	Verleden
1495	6426	concern	v	preocupación	bezorgdheid
1496	6421	freedom	n	libertad	vrijheid
1497	6420	gentleman	n	hidalgo	heer
1498	6410	attract	v	atraer	aantrekken
1499	6409	explanation	n	explicación	uitleg
1500	6407	appoint	v	nombrar	aanstellen
1501	6405	note	v	Nota	Notitie
1502	6402	chief	a	jefe	chef
1503	6390	total	n	total	totaal
1504	6390	lovely	a	encantador	heerlijk
1505	6387	official	a	oficial	officieel
1506	6371	date	v	fecha	datum
1507	6368	demonstrate	v	demostrar	demonstreren
1508	6366	construction	n	construcción	bouw
1509	6363	middle	n	medio	midden-
1510	6360	yard	n	yarda	werf
1511	6359	unable	a	incapaz	niet in staat
1512	6354	acquire	v	adquirir	verkrijgen
1513	6352	surely	adv	seguramente	zeker
1514	6352	crisis	n	crisis	crisis
1515	6345	propos	v	propos	propos
1516	6328	west	n	Oeste	westen
1517	6313	impose	v	imponer	opleggen
1518	6309	market	v	mercado	markt
1519	6298	care	v	cuidado	zorg
1520	6297	god	n	Dios	god
1521	6289	favour	n	favor	gunst
1522	6285	before	adv	antes de	voor
1523	6284	name	v	nombre	naam
1524	6277	equal	a	igual	Gelijk
1525	6272	capacity	n	capacidad	capaciteit
1526	6265	flat	n	plano	vlak
1527	6262	selection	n	selección	selectie
1528	6262	alone	adv	solo	alleen
1529	6261	football	n	fútbol	voetbal
1530	6259	victory	n	victoria	zege
1531	6259	factory	n	fábrica	fabriek
1532	6258	rural	a	rural	landelijk
1533	6254	twice	adv	dos veces	tweemaal
1534	6248	sing	v	canta	zingen
1535	6236	whereas	conj	mientras	terwijl
1536	6236	own	v	propio	eigen
1537	6235	head	v	cabeza	hoofd
1538	6232	examination	n	examen	examen
1539	6230	deliver	v	entregar	leveren
1540	6229	nobody	pron	nadie	niemand
1541	6222	substantial	a	sustancial	wezenlijk
1542	6222	invite	v	invitación	nodig uit
1543	6220	intention	n	intención	intentie
1544	6220	egg	n	huevo	ei
1545	6209	reasonable	a	razonable	redelijk
1546	6208	onto	prep	sobre	naar
1547	6202	retain	v	conservar	behouden
1548	6200	aircraft	n	aeronave	vliegtuig
1549	6197	decade	n	década	decennium
1550	6196	cheap	a	barato	goedkoop
1551	6194	quiet	a	tranquilo	rustig
1552	6190	bright	a	brillante	helder
1553	6186	contribute	v	contribuir	bijdragen
1554	6166	row	n	fila	rij
1555	6165	search	n	buscar	zoeken
1556	6155	limit	n	límite	begrenzing
1557	6153	definition	n	definición	definitie
1558	6143	unemployment	n	desempleo	werkloosheid
1559	6139	spread	v	untado	verspreiding
1560	6139	mark	n	marca	Mark
1561	6132	flight	n	vuelo	vlucht
1562	6130	account	v	cuenta	account
1563	6129	output	n	salida	uitgang
1564	6124	last	v	último	laatste
1565	6117	tour	n	gira	tour
1566	6112	address	n	dirección	adres
1567	6107	immediate	a	inmediato	onmiddellijk
1568	6106	reduction	n	reducción	vermindering
1569	6093	interview	n	entrevista	interview
1570	6088	assess	v	evaluar	schatten
1571	6085	promote	v	promover	promoten
1572	6084	everybody	pron	todos	iedereen
1573	6077	suitable	a	adecuado	geschikt
1574	6077	ought	modal	debería	moeten
1575	6077	growing	a	creciente	groeiend
1576	6073	nod	v	cabecear	knikken
1577	6064	reject	v	rechazar	afwijzen
1578	6058	while	n	mientras	terwijl
1579	6057	high	adv	alto	hoog
1580	6050	dream	n	sueño	droom
1581	6048	vote	v	votar	stemmen
1582	6044	divide	v	dividir	verdelen
1583	6043	declare	v	declarar	verklaren
1584	6030	handle	v	encargarse de	handvat
1585	6030	detailed	a	detallado	gedetailleerd
1586	6021	challenge	n	reto	uitdaging
1587	6015	notice	n	darse cuenta	merk op
1588	6012	rain	n	lluvia	regen
1589	6004	destroy	v	destruir	vernietigen
1590	5998	mountain	n	montaña	berg-
1591	5987	concentration	n	concentración	concentratie
1592	5984	limited	a	limitado	beperkt
1593	5983	finance	n	financiar	financiën
1594	5979	pension	n	pensión	pensioen
1595	5968	influence	v	influencia	invloed
1596	5967	afraid	a	asustado	bang
1597	5961	murder	n	asesinato	moord
1598	5958	neck	n	cuello	nek
1599	5954	weapon	n	arma	wapen
1600	5954	hide	v	esconder	verbergen
1601	5951	offence	n	ofensa	overtreding
1602	5949	absence	n	ausencia	afwezigheid
1603	5945	error	n	error	fout
1604	5942	representative	n	representante	vertegenwoordiger
1605	5936	enterprise	n	empresa	onderneming
1606	5932	criticism	n	crítica	kritiek
1607	5922	average	a	promedio	gemiddelde
1608	5920	quick	a	rápido	snel
1609	5917	sufficient	a	suficiente	voldoende
1610	5911	appointment	n	cita	afspraak
1611	5908	match	v	partido	bij elkaar passen
1612	5902	transfer	v	transferir	overdracht
1613	5897	acid	n	ácido	zuur
1614	5890	spring	n	primavera	de lente
1615	5889	birth	n	nacimiento	geboorte
1616	5888	ear	n	oreja	oor
1617	5887	recognize	v	reconocer	herken
1618	5886	recommend	v	recomendar	adviseren
1619	5882	module	n	módulo	module
1620	5882	instruction	n	instrucción	instructie
1621	5880	democratic	a	democrático	democratisch
1622	5879	park	n	parque	park
1623	5873	weather	n	clima	weer
1624	5872	bottle	n	botella	fles
1625	5872	address	v	dirección	adres
1626	5865	bedroom	n	Cuarto	slaapkamer
1627	5860	kid	n	niño	kind
1628	5853	pleasure	n	Placer	genoegen
1629	5849	realize	v	darse cuenta de	realiseren
1630	5847	assembly	n	Asamblea	bijeenkomst
1631	5846	expensive	a	costoso	duur
1632	5844	select	v	seleccionar	kiezen
1633	5843	teaching	n	enseñando	onderwijs
1634	5843	desire	n	deseo	verlangen
1635	5839	whilst	conj	mientras que	terwijl
1636	5833	contact	v	contacto	contact
1637	5831	implication	n	implicación	implicatie
1638	5825	combine	v	combinar	combineren
1639	5823	temperature	n	temperatura	temperatuur-
1640	5821	wave	n	ola	Golf
1641	5813	magazine	n	revista	tijdschrift
1642	5807	totally	adv	totalmente	helemaal
1643	5803	mental	a	mental	geestelijk
1644	5800	used	a	usado	gebruikt
1645	5800	store	n	almacenar	op te slaan
1646	5799	scientific	a	científico	wetenschappelijk
1647	5799	frequently	adv	frecuentemente	vaak
1648	5794	thanks	n	Gracias	bedankt
1649	5785	beside	prep	junto a	naast
1650	5782	settlement	n	asentamiento	nederzetting
1651	5782	absolutely	adv	absolutamente	Absoluut
1652	5763	critical	a	crítico	kritisch
1653	5759	recognition	n	reconocimiento	erkenning
1654	5753	touch	n	toque	aanraken
1655	5751	consist	v	consistir	bestaan ​​uit
1656	5748	below	prep	abajo	beneden
1657	5747	silence	n	silencio	stilte
1658	5746	expenditure	n	gasto	uitgaven
1659	5744	institute	n	instituto	instituut
1660	5738	dress	v	vestir	jurk
1661	5730	dangerous	a	peligroso	gevaarlijk
1662	5724	familiar	a	familiar	vertrouwd
1663	5721	asset	n	activo	aanwinst
1664	5716	belong	v	pertenecer a	behoren
1665	5710	educational	a	educativo	leerzaam
1666	5707	sum	n	suma	som
1667	5706	publication	n	publicación	publicatie
1668	5706	partly	adv	parcialmente	gedeeltelijk
1669	5705	block	n	bloquear	blok
1670	5699	seriously	adv	seriamente	ernstig
1671	5686	youth	n	juventud	jeugd
1672	5686	tape	n	cinta	band
1673	5684	elsewhere	adv	en otra parte	ergens anders
1674	5683	cover	n	cubrir	deksel
1675	5680	fee	n	cuota	honorarium
1676	5677	program	n	programa	programma
1677	5672	treaty	n	tratado	verdrag
1678	5670	necessarily	adv	necesariamente	nodig
1679	5667	unlikely	a	improbable	onwaarschijnlijk
1680	5667	properly	adv	correctamente	naar behoren
1681	5665	guest	n	huésped	gast
1682	5662	code	n	código	code
1683	5652	hill	n	colina	heuvel
1684	5644	screen	n	pantalla	scherm
1685	5644	household	n	casa	huishouden
1686	5642	sequence	n	secuencia	volgorde
1687	5641	correct	a	correcto	correct
1688	5640	female	a	hembra	vrouw
1689	5639	phase	n	fase	fase
1690	5633	crowd	n	multitud	menigte
1691	5626	welcome	v	Bienvenido	Welkom
1692	5621	metal	n	metal	metaal
1693	5612	human	n	humano	menselijk
1694	5610	widely	adv	extensamente	wijd
1695	5604	undertake	v	emprender	ondernemen
1696	5596	cut	n	cortar	besnoeiing
1697	5594	sky	n	cielo	hemel
1698	5586	brain	n	cerebro	hersenen
1699	5580	expert	n	experto	deskundige
1700	5577	experiment	n	experimentar	experiment
1701	5575	tiny	a	minúsculo	klein
1702	5574	perfect	a	Perfecto	perfect
1703	5560	disappear	v	desaparecer	verdwijnen
1704	5555	initiative	n	iniciativa	initiatief
1705	5554	assumption	n	suposición	veronderstelling
1706	5549	photograph	n	fotografía	fotograaf
1707	5544	ministry	n	ministerio	ministerie
1708	5544	congress	n	congreso	congres
1709	5540	transfer	n	transferir	overdracht
1710	5540	reading	n	leyendo	lezing
1711	5527	scientist	n	científico	wetenschapper
1712	5527	fast	adv	rápido	snel
1713	5527	fast	a	rápido	snel
1714	5521	closely	adv	cercanamente	van nabij
1715	5517	thin	a	Delgado	dun
1716	5517	solicitor	n	abogado	notaris
1717	5517	secure	v	seguro	beveiligen
1718	5515	plate	n	plato	bord
1719	5513	pool	n	piscina	zwembad
1720	5512	gold	n	oro	goud
1721	5512	emphasis	n	énfasis	nadruk
1722	5511	recall	v	recordar	terugroepen
1723	5508	shout	v	gritar	roepen
1724	5501	generate	v	generar	voortbrengen
1725	5499	location	n	ubicación	plaats
1726	5494	display	v	monitor	tonen
1727	5492	heat	n	calor	warmte
1728	5482	gun	n	pistola	geweer
1729	5476	shut	v	cerrar	gesloten
1730	5469	journey	n	viaje	reis
1731	5467	imply	v	implicar	impliceren
1732	5466	violence	n	violencia	geweld
1733	5465	dry	a	seco	droog
1734	5463	historical	a	histórico	historisch
1735	5459	step	v	paso	stap
1736	5457	curriculum	n	plan de estudios	leerplan
1737	5455	noise	n	ruido	lawaai
1738	5455	lunch	n	almuerzo	lunch
1739	5453	fear	v	miedo	angst
1740	5451	succeed	v	tener éxito	slagen
1741	5441	fall	n	otoño	vallen
1742	5441	bottom	n	fondo	bodem
1743	5434	initial	a	inicial	eerste
1744	5428	theme	n	tema	thema
1745	5423	characteristic	n	característica	karakteristiek
1746	5421	pretty	adv	bonita	mooi
1747	5414	empty	a	vacío	leeg
1748	5406	display	n	monitor	tonen
1749	5404	combination	n	combinación	combinatie
1750	5403	interpretation	n	interpretación	interpretatie
1751	5402	rely	v	confiar	vertrouwen
1752	5400	escape	v	escapar	ontsnappen
1753	5398	score	v	Puntuación	partituur
1754	5397	justice	n	justicia	gerechtigheid
1755	5391	upper	a	Superior	bovenste
1756	5383	tooth	n	diente	tand
1757	5377	organise	v	organizar	organiseren
1758	5377	cat	n	gato	kat
1759	5376	tool	n	herramienta	gereedschap
1760	5370	spot	n	lugar	plek
1761	5367	bridge	n	puente	brug
1762	5366	double	a	doble	dubbele
1763	5363	direct	v	directo	direct
1764	5363	conclude	v	concluir	concluderen
1765	5360	relative	a	relativo	familielid
1766	5353	soldier	n	soldado	soldaat
1767	5351	climb	v	escalada	beklimmen
1768	5347	breath	n	aliento	adem
1769	5346	afford	v	permitirse	veroorloven
1770	5344	urban	a	urbano	stedelijk
1771	5343	nurse	n	enfermera	verpleegster
1772	5342	narrow	a	estrecho	smal
1773	5329	liberal	a	liberal	liberaal
1774	5328	coal	n	carbón	steenkool
1775	5327	priority	n	prioridad	prioriteit
1776	5325	wild	a	salvaje	wild
1777	5322	revenue	n	ingresos	omzet
1778	5322	membership	n	afiliación	lidmaatschap
1779	5320	grant	n	conceder	verlenen
1780	5312	approve	v	aprobar	goedkeuren
1781	5306	tall	a	alto	lang
1782	5306	apparent	a	aparente	schijnbaar
1783	5298	faith	n	fe	geloof
1784	5287	under	adv	debajo	onder
1785	5282	fix	v	fijar	repareren
1786	5279	slow	a	lento	langzaam
1787	5271	troop	n	tropa	troep
1788	5269	motion	n	movimiento	beweging
1789	5267	leading	a	líder	leidend
1790	5263	component	n	componente	bestanddeel
1791	5261	bloody	a	sangriento	bloedig
1792	5260	literature	n	literatura	literatuur
1793	5245	conservative	a	conservador	conservatief
1794	5244	variation	n	variación	variatie
1795	5242	remind	v	recordar	herinneren
1796	5229	inform	v	informar	informeren
1797	5228	alternative	n	alternativa	alternatief
1798	5227	neither	adv	ninguno	geen van beide
1799	5224	outside	adv	fuera de	buiten
1800	5224	mass	n	masa	massa-
1801	5221	busy	a	ocupado	bezig
1802	5219	chemical	n	químico	chemisch
1803	5218	careful	a	cuidadoso	voorzichtig
1804	5212	investigate	v	investigar	onderzoeken
1805	5202	roll	v	rodar	rollen
1806	5197	instrument	n	instrumento	instrument
1807	5186	guide	n	guía	gids
1808	5177	criterion	n	criterio	criterium
1809	5172	pocket	n	bolsillo	zak-
1810	5169	suggestion	n	sugerencia	suggestie
1811	5166	aye	interjection	sí	aye
1812	5156	entitle	v	dar derecho	recht
1813	5153	tone	n	tono	toon
1814	5152	attractive	a	atractivo	aantrekkelijk
1815	5142	wing	n	ala	vleugel
1816	5139	surprise	n	sorpresa	verrassing
1817	5138	male	n	masculino	mannetje
1818	5134	ring	n	anillo	ring
1819	5127	pub	n	pub	kroeg
1820	5118	fruit	n	Fruta	fruit
1821	5116	passage	n	paso	passage
1822	5111	illustrate	v	ilustrar	illustreren
1823	5110	pay	n	paga	betalen
1824	5104	ride	v	paseo	rijden
1825	5103	foundation	n	Fundación	fundament
1826	5100	restaurant	n	restaurante	restaurant
1827	5098	vital	a	vital	vitaal
1828	5098	alternative	a	alternativa	alternatief
1829	5091	burn	v	quemar	brandwond
1830	5085	map	n	mapa	kaart
1831	5081	united	a	unido	verenigd
1832	5079	device	n	dispositivo	apparaat
1833	5077	jump	v	saltar	springen
1834	5072	estimate	v	estimar	schatting
1835	5068	conduct	v	conducta	gedrag
1836	5065	derive	v	derivar	afleiden
1837	5065	comment	v	comentario	commentaar
1838	5055	east	n	este	oosten-
1839	5055	advise	v	aconsejar	adviseren
1840	5055	advance	n	avanzar	van te voren
1841	5052	motor	n	motor	motor
1842	5050	satisfy	v	satisfacer	voldoen
1843	5049	hell	n	infierno	hel
1844	5048	winner	n	ganador	winnaar
1845	5048	effectively	adv	eficazmente	effectief
1846	5045	mistake	n	Error	vergissing
1847	5041	incident	n	incidente	incident
1848	5036	focus	v	atención	focus
1849	5035	exercise	v	ejercicio	oefening
1850	5030	representation	n	representación	vertegenwoordiging
1851	5029	release	n	lanzamiento	vrijlating
1852	5028	leaf	n	hoja	blad
1853	5028	border	n	frontera	grens
1854	5027	wash	v	lavar	wassen
1855	5014	prospect	n	perspectiva	vooruitzicht
1856	5013	blow	v	soplar	blazen
1857	5010	trip	n	viaje	reis
1858	5010	observation	n	observación	observatie
1859	4986	gather	v	reunir	verzamelen
1860	4981	ancient	a	antiguo	oude
1861	4977	brief	a	breve	kort
1862	4974	gate	n	portón	poort
1863	4973	elderly	a	mayor	ouderen
1864	4970	persuade	v	persuadir	overhalen
1865	4968	overall	a	en general	globaal
1866	4967	rare	a	raro	zeldzaam
1867	4967	index	n	índice	inhoudsopgave
1868	4967	hand	v	mano	hand-
1869	4967	circle	n	circulo	cirkel
1870	4957	creation	n	creación	schepping
1871	4953	drawing	n	dibujo	tekening
1872	4952	anybody	pron	nadie	iemand
1873	4951	flow	n	fluir	stroom
1874	4947	matter	v	importar	er toe doen
1875	4946	external	a	externo	extern
1876	4943	capable	a	capaz	in staat
1877	4932	recover	v	recuperar	herstellen
1878	4924	shot	n	Disparo	schot
1879	4923	request	n	solicitud	verzoek
1880	4921	impression	n	impresión	indruk
1881	4919	neighbour	n	vecino	buurman
1882	4917	theatre	n	teatro	theater
1883	4917	beneath	prep	debajo	onder
1884	4914	hurt	v	herir	pijn doen
1885	4913	mechanism	n	mecanismo	mechanisme
1886	4904	potential	n	potencial	potentieel
1887	4904	lean	v	apoyarse	mager
1888	4903	defendant	n	acusado	verweerder
1889	4902	atmosphere	n	atmósfera	atmosfeer
1890	4897	slip	v	resbalón	uitglijden
1891	4890	chain	n	cadena	keten
1892	4885	accompany	v	acompañar	begeleiden
1893	4884	wonderful	a	maravilloso	prachtig
1894	4879	earn	v	ganar	verdienen
1895	4872	enemy	n	enemigo	vijand
1896	4871	desk	n	escritorio	bureau
1897	4870	engineering	n	Ingenieria	bouwkunde
1898	4857	panel	n	panel	paneel
1899	4853	distinction	n	distinción	onderscheid
1900	4853	deputy	n	diputado	plaatsvervanger
1901	4848	discipline	n	disciplina	discipline
1902	4847	strike	n	Huelga	staking
1903	4844	married	a	casado	getrouwd
1904	4841	plenty	pron	mucho	overvloed
1905	4840	establishment	n	establecimiento	etablissement
1906	4839	fashion	n	Moda	mode
1907	4832	roof	n	techo	dak
1908	4832	milk	n	Leche	melk
1909	4832	entire	a	todo	geheel
1910	4829	tear	n	lágrima	scheur
1911	4829	secondary	a	secundario	tweede
1912	4829	finding	n	hallazgo	bevinding
1913	4822	welfare	n	bienestar	welzijn
1914	4822	increased	a	aumentado	is gestegen
1915	4821	attach	v	adjuntar	hechten
1916	4815	typical	a	típico	typisch
1917	4813	meanwhile	adv	mientras tanto	ondertussen
1918	4809	leadership	n	liderazgo	leiderschap
1919	4808	walk	n	caminar	lopen
1920	4807	negotiation	n	negociación	onderhandeling
1921	4801	clean	a	limpiar	schoon
1922	4798	religion	n	religión	religie
1923	4798	count	v	contar	tellen
1924	4787	grey	a	gris	grijs
1925	4778	hence	adv	por lo tanto	Vandaar
1926	4777	alright	adv	bien	in orde
1927	4772	first	a	primero	eerste
1928	4770	fuel	n	combustible	brandstof
1929	4769	mine	n	mía	de mijne
1930	4764	appeal	v	apelación	in beroep gaan
1931	4762	servant	n	servidor	knecht
1932	4756	liability	n	responsabilidad	aansprakelijkheid
1933	4753	constant	a	constante	constante
1934	4752	hate	v	odio	een hekel hebben aan
1935	4746	shoe	n	zapato	schoen
1936	4744	expense	n	gastos	kosten
1937	4738	vast	a	vasto	groot
1938	4737	soil	n	suelo	bodem
1939	4727	writing	n	escritura	schrift
1940	4726	nose	n	nariz	neus-
1941	4724	origin	n	origen	oorsprong
1942	4708	lord	n	señor	heer
1943	4706	rest	v	descanso	rust uit
1944	4704	drive	n	manejar	rijden
1945	4703	ticket	n	boleto	ticket
1946	4698	editor	n	editor	editor
1947	4692	switch	v	cambiar	schakelaar
1948	4692	provided	conj	previsto	voorzien
1949	4692	northern	a	del Norte	noordelijk
1950	4690	significance	n	significado	betekenis
1951	4676	channel	n	canal	kanaal
1952	4673	convention	n	convención	conventie
1953	4672	damage	v	dañar	schade
1954	4669	funny	a	gracioso	grappig
1955	4665	bone	n	hueso	bot
1956	4659	severe	a	grave	erge, ernstige
1957	4657	search	v	buscar	zoeken
1958	4654	iron	n	hierro	ijzer
1959	4647	vision	n	visión	visie
1960	4647	via	prep	vía	via
1961	4638	somewhat	adv	algo	iets
1962	4637	inside	adv	dentro	binnen
1963	4636	trend	n	tendencia	neiging
1964	4629	revolution	n	revolución	revolutie
1965	4624	terrible	a	terrible	verschrikkelijk
1966	4621	knee	n	rodilla	knie
1967	4614	dress	n	vestir	jurk
1968	4612	unfortunately	adv	Desafortunadamente	helaas
1969	4612	steal	v	robar	stelen
1970	4602	criminal	a	criminal	crimineel
1971	4601	signal	n	señal	signaal
1972	4600	notion	n	noción	begrip
1973	4600	comparison	n	comparación	vergelijking
1974	4594	academic	a	académico	academische
1975	4591	outcome	n	resultado	resultaat
1976	4591	lawyer	n	abogado	advocaat
1977	4590	strongly	adv	fuertemente	sterk
1978	4586	surround	v	rodear	omringen
1979	4586	explore	v	explorar	onderzoeken
1980	4586	achievement	n	logro	prestatie
1981	4584	odd	a	impar	vreemd
1982	4583	expectation	n	expectativa	verwachting
1983	4579	corporate	a	corporativo	zakelijke
1984	4574	prisoner	n	prisionero	gevangene
1985	4570	question	v	pregunta	vraag
1986	4558	rapidly	adv	rápidamente	snel
1987	4556	deep	adv	profundo	diep
1988	4553	southern	a	del Sur	zuidelijk
1989	4552	amongst	prep	entre	te midden van
1990	4547	withdraw	v	retirar	terugtrekken
1991	4544	afterwards	adv	después	daarna
1992	4539	paint	v	pintar	verf
1993	4538	judge	v	juez	rechter
1994	4532	citizen	n	ciudadano	inwoner
1995	4530	permanent	a	permanente	blijvend
1996	4528	weak	a	débiles	zwak
1997	4518	separate	v	separar	scheiden
1998	4515	ourselves	pron	Nosotros mismos	onszelf
1999	4511	plastic	n	el plastico	plastic
2000	4510	connect	v	conectar	aansluiten
2001	4508	fundamental	a	fundamental	fundamenteel
2002	4505	plane	n	avión	vlak
2003	4505	height	n	altura	hoogte
2004	4504	opening	n	apertura	opening
2005	4503	lesson	n	lección	les
2006	4502	similarly	adv	similar	evenzo
2007	4502	shock	n	choque	schok
2008	4502	rail	n	carril	het spoor
2009	4493	tenant	n	inquilino	huurder
2010	4492	owe	v	deber	te danken hebben
2011	4492	originally	adv	originalmente	oorspronkelijk
2012	4487	middle	a	medio	midden-
2013	4483	somehow	adv	de algun modo	hoe dan ook
2014	4482	minor	a	menor	mineur
2015	4481	negative	a	negativo	negatief
2016	4481	knock	v	golpe	klop
2017	4478	root	n	raíz	wortel
2018	4471	pursue	v	perseguir	na te streven
2019	4471	inner	a	interior	binnenste
2020	4465	crucial	a	crucial	beslissend
2021	4460	occupy	v	ocupar	bezetten
2022	4459	that	adv	ese	dat
2023	4459	independence	n	independencia	onafhankelijkheid
2024	4456	column	n	columna	kolom
2025	4455	proceeding	n	proceder	procedure
2026	4450	female	n	hembra	vrouw
2027	4445	beauty	n	belleza	schoonheid
2028	4439	perfectly	adv	perfectamente	volmaakt
2029	4438	struggle	n	lucha	worstelen
2030	4436	gap	n	brecha	kloof
2031	4435	house	v	casa	huis
2032	4432	database	n	base de datos	databank
2033	4417	stretch	v	tramo	rekken
2034	4417	stress	n	estrés	spanning
2035	4416	passenger	n	pasajero	passagier
2036	4416	boundary	n	límite	grens
2037	4415	easy	adv	fácil	gemakkelijk
2038	4409	view	v	ver	uitzicht
2039	4408	manufacturer	n	fabricante	fabrikant
2040	4402	sharp	a	agudo	scherp
2041	4401	formation	n	formación	vorming
2042	4399	queen	n	reina	koningin
2043	4398	waste	n	residuos	verspilling
2044	4398	virtually	adv	virtualmente	virtueel
